WellID,Date,Elevation,Type
W086,1948-10-20,1345.7,RPELEV
W086,1948-10-20,1325.3,Well Water Level
W092,1948-10-24,1358.4,RPELEV
W092,1948-10-24,1329.5,Well Water Level
W087,1948-11-17,1335.6,RPELEV
W087,1948-11-17,1325.5,Well Water Level
W086,1948-11-30,1345.7,RPELEV
W086,1948-11-30,1325.6,Well Water Level
W087,1948-12-15,1335.6,RPELEV
W087,1948-12-15,1326,Well Water Level
W086,1949-01-03,1345.7,RPELEV
W087,1949-01-03,1335.6,RPELEV
W086,1949-01-03,1328.3,Well Water Level
W087,1949-01-03,1326.6,Well Water Level
W086,1949-02-01,1345.7,RPELEV
W087,1949-02-01,1335.6,RPELEV
W086,1949-02-01,1330.6,Well Water Level
W087,1949-02-01,1328.1,Well Water Level
W086,1949-03-02,1345.7,RPELEV
W087,1949-03-02,1335.6,RPELEV
W086,1949-03-02,1333,Well Water Level
W087,1949-03-02,1330.5,Well Water Level
W092,1949-03-21,1358.4,RPELEV
W092,1949-03-21,1350.9,Well Water Level
W086,1949-04-04,1345.7,RPELEV
W087,1949-04-04,1335.6,RPELEV
W086,1949-04-04,1327.9,Well Water Level
W087,1949-04-04,1333.1,Well Water Level
W086,1949-04-08,1345.7,RPELEV
W086,1949-04-08,1335.1,Well Water Level
W086,1949-05-02,1345.7,RPELEV
W087,1949-05-02,1335.6,RPELEV
W086,1949-05-02,1329.1,Well Water Level
W087,1949-05-02,1331.9,Well Water Level
W086,1949-06-01,1345.7,RPELEV
W086,1949-06-01,1311.5,Well Water Level
W087,1949-06-02,1335.6,RPELEV
W087,1949-06-02,1330.4,Well Water Level
W086,1949-07-01,1345.7,RPELEV
W086,1949-07-01,1321.8,Well Water Level
W087,1949-07-05,1335.6,RPELEV
W087,1949-07-05,1327.6,Well Water Level
W086,1949-08-02,1345.7,RPELEV
W087,1949-08-02,1335.6,RPELEV
W086,1949-08-02,1324.1,Well Water Level
W087,1949-08-02,1325.6,Well Water Level
W086,1949-09-01,1345.7,RPELEV
W087,1949-09-01,1335.6,RPELEV
W086,1949-09-01,1324.1,Well Water Level
W087,1949-09-01,1324.8,Well Water Level
W086,1949-10-01,1345.7,RPELEV
W087,1949-10-01,1335.6,RPELEV
W086,1949-10-01,1317.6,Well Water Level
W087,1949-10-01,1323.3,Well Water Level
W092,1949-10-27,1358.4,RPELEV
W092,1949-10-27,1324.9,Well Water Level
W086,1949-11-02,1345.7,RPELEV
W087,1949-11-02,1335.6,RPELEV
W086,1949-11-02,1320.8,Well Water Level
W087,1949-11-02,1323.1,Well Water Level
W092,1949-11-16,1358.4,RPELEV
W092,1949-11-16,1326,Well Water Level
W086,1949-12-01,1345.7,RPELEV
W087,1949-12-01,1335.6,RPELEV
W086,1949-12-01,1323.3,Well Water Level
W087,1949-12-01,1323.5,Well Water Level
W086,1950-01-03,1345.7,RPELEV
W087,1950-01-03,1335.6,RPELEV
W086,1950-01-03,1324.4,Well Water Level
W087,1950-01-03,1324.2,Well Water Level
W086,1950-02-01,1345.7,RPELEV
W087,1950-02-01,1335.6,RPELEV
W086,1950-02-01,1329.9,Well Water Level
W087,1950-02-01,1326.7,Well Water Level
W086,1950-03-01,1345.7,RPELEV
W087,1950-03-01,1335.6,RPELEV
W086,1950-03-01,1332.7,Well Water Level
W087,1950-03-01,1330.3,Well Water Level
W092,1950-03-31,1358.4,RPELEV
W092,1950-03-31,1348.8,Well Water Level
W086,1950-04-04,1345.7,RPELEV
W087,1950-04-04,1335.6,RPELEV
W086,1950-04-04,1333.9,Well Water Level
W087,1950-04-04,1332.1,Well Water Level
W086,1950-04-10,1345.7,RPELEV
W092,1950-04-10,1358.4,RPELEV
W086,1950-04-10,1334.1,Well Water Level
W092,1950-04-10,1349,Well Water Level
W086,1950-04-25,1345.7,RPELEV
W092,1950-04-25,1358.4,RPELEV
W086,1950-04-25,1333.9,Well Water Level
W092,1950-04-25,1348.6,Well Water Level
W087,1950-04-26,1335.6,RPELEV
W087,1950-04-26,1331.8,Well Water Level
W086,1950-06-02,1345.7,RPELEV
W092,1950-06-02,1358.4,RPELEV
W086,1950-06-02,1327.8,Well Water Level
W092,1950-06-02,1345.6,Well Water Level
W086,1950-07-01,1345.7,RPELEV
W092,1950-07-01,1358.4,RPELEV
W086,1950-07-01,1322.2,Well Water Level
W092,1950-07-01,1329,Well Water Level
W086,1950-08-01,1345.7,RPELEV
W092,1950-08-01,1358.4,RPELEV
W086,1950-08-01,1318.1,Well Water Level
W092,1950-08-01,1325.8,Well Water Level
W086,1950-10-30,1345.7,RPELEV
W086,1950-10-30,1324.7,Well Water Level
W087,1950-10-31,1335.6,RPELEV
W087,1950-10-31,1322.6,Well Water Level
W092,1950-11-01,1358.4,RPELEV
W092,1950-11-01,1335.9,Well Water Level
W087,1951-03-27,1335.6,RPELEV
W087,1951-03-27,1333.3,Well Water Level
W086,1951-03-28,1345.7,RPELEV
W092,1951-03-28,1358.4,RPELEV
W086,1951-03-28,1335.3,Well Water Level
W092,1951-03-28,1349.2,Well Water Level
W086,1951-11-06,1345.7,RPELEV
W087,1951-11-06,1335.6,RPELEV
W092,1951-11-06,1358.4,RPELEV
W086,1951-11-06,1321.1,Well Water Level
W087,1951-11-06,1323.4,Well Water Level
W092,1951-11-06,1326.7,Well Water Level
W092,1952-04-07,1358.4,RPELEV
W092,1952-04-07,1349.4,Well Water Level
W086,1952-04-08,1345.7,RPELEV
W087,1952-04-08,1335.6,RPELEV
W086,1952-04-08,1334.5,Well Water Level
W087,1952-04-08,1334.6,Well Water Level
W086,1952-11-07,1345.7,RPELEV
W087,1952-11-07,1335.6,RPELEV
W092,1952-11-07,1358.4,RPELEV
W086,1952-11-07,1324.3,Well Water Level
W087,1952-11-07,1324.9,Well Water Level
W092,1952-11-07,1329.1,Well Water Level
W086,1953-03-16,1345.7,RPELEV
W087,1953-03-16,1335.6,RPELEV
W092,1953-03-16,1358.4,RPELEV
W086,1953-03-16,1334.4,Well Water Level
W087,1953-03-16,1333.1,Well Water Level
W092,1953-03-16,1348.9,Well Water Level
W087,1953-10-20,1335.6,RPELEV
W092,1953-10-20,1358.4,RPELEV
W087,1953-10-20,1325.8,Well Water Level
W092,1953-10-20,1328.8,Well Water Level
W087,1954-03-23,1335.6,RPELEV
W087,1954-03-23,1334.4,Well Water Level
W075,1960-03-03,1372.8,RPELEV
W086,1960-03-03,1345.7,RPELEV
W092,1960-03-03,1358.4,RPELEV
W093,1960-03-03,1358.4,RPELEV
W075,1960-03-03,1362.8,Well Water Level
W086,1960-03-03,NA,Well Water Level
W092,1960-03-03,1346,Well Water Level
W093,1960-03-03,1346,Well Water Level
W075,1960-10-04,1372.8,RPELEV
W092,1960-10-04,1358.4,RPELEV
W093,1960-10-04,1358.4,RPELEV
W075,1960-10-04,1345.6,Well Water Level
W092,1960-10-04,1317.2,Well Water Level
W093,1960-10-04,1317.4,Well Water Level
W086,1960-11-16,1345.7,RPELEV
W086,1960-11-16,1321.5,Well Water Level
W087,1960-11-23,1335.6,RPELEV
W087,1960-11-23,1322.4,Well Water Level
W086,1961-03-08,1345.7,RPELEV
W087,1961-03-08,1335.6,RPELEV
W092,1961-03-08,1358.4,RPELEV
W093,1961-03-08,1358.4,RPELEV
W086,1961-03-08,1330.8,Well Water Level
W087,1961-03-08,1332.4,Well Water Level
W092,1961-03-08,1346,Well Water Level
W093,1961-03-08,1346,Well Water Level
W075,1961-03-09,1372.8,RPELEV
W075,1961-03-09,1363.8,Well Water Level
W075,1961-10-31,1372.8,RPELEV
W086,1961-10-31,1345.7,RPELEV
W087,1961-10-31,1335.6,RPELEV
W092,1961-10-31,1358.4,RPELEV
W093,1961-10-31,1358.4,RPELEV
W075,1961-10-31,1349,Well Water Level
W086,1961-10-31,1321.5,Well Water Level
W087,1961-10-31,1321.7,Well Water Level
W092,1961-10-31,1316.2,Well Water Level
W093,1961-10-31,1322.1,Well Water Level
W075,1962-03-06,1372.8,RPELEV
W075,1962-03-06,1365.9,Well Water Level
W086,1962-03-09,1345.7,RPELEV
W087,1962-03-09,1335.6,RPELEV
W092,1962-03-09,1358.4,RPELEV
W093,1962-03-09,1358.4,RPELEV
W086,1962-03-09,1334.6,Well Water Level
W087,1962-03-09,1333.8,Well Water Level
W092,1962-03-09,1347.2,Well Water Level
W093,1962-03-09,1347.4,Well Water Level
W075,1962-10-03,1372.8,RPELEV
W086,1962-10-03,1345.7,RPELEV
W075,1962-10-03,1345.6,Well Water Level
W086,1962-10-03,1318.8,Well Water Level
W087,1962-10-04,1335.6,RPELEV
W092,1962-10-04,1358.4,RPELEV
W093,1962-10-04,1358.4,RPELEV
W087,1962-10-04,1320.9,Well Water Level
W092,1962-10-04,1311.6,Well Water Level
W093,1962-10-04,1314.9,Well Water Level
W086,1963-03-20,1345.7,RPELEV
W087,1963-03-20,1335.6,RPELEV
W092,1963-03-20,1358.4,RPELEV
W093,1963-03-20,1358.4,RPELEV
W086,1963-03-20,1332.2,Well Water Level
W087,1963-03-20,1332.6,Well Water Level
W092,1963-03-20,1344.8,Well Water Level
W093,1963-03-20,1345.9,Well Water Level
W075,1963-03-30,1372.8,RPELEV
W075,1963-03-30,1364.8,Well Water Level
W075,1963-10-16,1372.8,RPELEV
W086,1963-10-16,1345.7,RPELEV
W087,1963-10-16,1335.6,RPELEV
W092,1963-10-16,1358.4,RPELEV
W093,1963-10-16,1358.4,RPELEV
W075,1963-10-16,1351,Well Water Level
W086,1963-10-16,1322.1,Well Water Level
W087,1963-10-16,1325.6,Well Water Level
W092,1963-10-16,1331.4,Well Water Level
W093,1963-10-16,1329.4,Well Water Level
W075,1964-03-30,1372.8,RPELEV
W086,1964-03-30,1345.7,RPELEV
W087,1964-03-30,1335.6,RPELEV
W092,1964-03-30,1358.4,RPELEV
W093,1964-03-30,1358.4,RPELEV
W075,1964-03-30,1362.6,Well Water Level
W086,1964-03-30,1327.2,Well Water Level
W087,1964-03-30,1330.8,Well Water Level
W092,1964-03-30,1344.7,Well Water Level
W093,1964-03-30,1345.1,Well Water Level
W086,1964-10-07,1345.7,RPELEV
W087,1964-10-07,1335.6,RPELEV
W092,1964-10-07,1358.4,RPELEV
W093,1964-10-07,1358.4,RPELEV
W086,1964-10-07,1316.3,Well Water Level
W087,1964-10-07,1321.2,Well Water Level
W092,1964-10-07,1309.2,Well Water Level
W093,1964-10-07,1306.2,Well Water Level
W075,1964-10-27,1372.8,RPELEV
W075,1964-10-27,1341.8,Well Water Level
W086,1965-03-19,1345.7,RPELEV
W087,1965-03-19,1335.6,RPELEV
W092,1965-03-19,1358.4,RPELEV
W093,1965-03-19,1358.4,RPELEV
W086,1965-03-19,1332.1,Well Water Level
W087,1965-03-19,1331.9,Well Water Level
W092,1965-03-19,1344.3,Well Water Level
W093,1965-03-19,1344.7,Well Water Level
W075,1965-03-22,1372.8,RPELEV
W075,1965-03-22,1357.9,Well Water Level
W075,1965-10-11,1372.8,RPELEV
W086,1965-10-11,1345.7,RPELEV
W087,1965-10-11,1335.6,RPELEV
W092,1965-10-11,1358.4,RPELEV
W093,1965-10-11,1358.4,RPELEV
W075,1965-10-11,1347.4,Well Water Level
W086,1965-10-11,1323.3,Well Water Level
W087,1965-10-11,1324.4,Well Water Level
W092,1965-10-11,1324.8,Well Water Level
W093,1965-10-11,1325.1,Well Water Level
W079,1966-03-09,1336.3,RPELEV
W086,1966-03-09,1345.7,RPELEV
W087,1966-03-09,1335.6,RPELEV
W079,1966-03-09,1329.1,Well Water Level
W086,1966-03-09,1331.6,Well Water Level
W087,1966-03-09,1332.4,Well Water Level
W055,1966-03-10,1357.5,RPELEV
W075,1966-03-10,1372.8,RPELEV
W092,1966-03-10,1358.4,RPELEV
W093,1966-03-10,1358.4,RPELEV
W055,1966-03-10,1350.5,Well Water Level
W075,1966-03-10,1358.6,Well Water Level
W092,1966-03-10,1344,Well Water Level
W093,1966-03-10,1344.4,Well Water Level
W037,1966-03-22,1360.5,RPELEV
W037,1966-03-22,1357,Well Water Level
W051,1966-03-23,1360.5,RPELEV
W051,1966-03-23,1356.5,Well Water Level
W037,1966-10-18,1360.5,RPELEV
W037,1966-10-18,1342.7,Well Water Level
W051,1966-11-07,1360.5,RPELEV
W051,1966-11-07,1338.8,Well Water Level
W075,1966-11-09,1372.8,RPELEV
W079,1966-11-09,1336.3,RPELEV
W075,1966-11-09,1341.7,Well Water Level
W079,1966-11-09,1317.7,Well Water Level
W055,1966-11-10,1357.5,RPELEV
W086,1966-11-10,1345.7,RPELEV
W087,1966-11-10,1335.6,RPELEV
W092,1966-11-10,1358.4,RPELEV
W093,1966-11-10,1358.4,RPELEV
W055,1966-11-10,1323.8,Well Water Level
